,Score,Word count (average)
0,-1,28.139672806860304
1,-10,52.3996787071228
2,-11,56.81231689453125
3,-12,70.36502075195312
4,-13,90.087158203125
5,-14,35.5625
6,-15,91.65625
7,-16,45.375
8,-17,68.5
9,-18,83.0
10,-2,56.54025133820279
11,-20,41.0
12,-21,45.0
13,-22,49.0
14,-23,77.0
15,-26,16.0
16,-29,36.5
17,-3,37.81320788898134
18,-4,34.99092097602663
19,-41,79.0
20,-48,10.0
21,-5,62.71757232903481
22,-6,36.013517415107174
23,-7,39.117536561390885
24,-8,182.73260393388261
25,-9,51.92192509558299
26,0,51.657635374188246
27,1,63.787912393568924
28,10,30.956081955584608
29,100,8.0
30,102,89.5
31,103,27.75
32,105,37.25
33,106,30.0
34,107,40.0
35,108,45.0
36,11,91.15254363392671
37,110,1.0
38,111,54.0
39,112,51.0
40,113,55.0
41,114,9.0
42,117,56.0
43,118,26.0
44,12,82.43960048045251
45,120,20.0
46,121,55.5
47,123,7.5
48,124,54.5
49,128,23.5
50,129,51.0
51,13,37.137841172563114
52,131,47.0
53,134,145.0
54,137,87.5
55,139,33.0
56,14,35.24336263933408
57,141,4.0
58,147,27.0
59,148,135.0
60,149,103.5
61,15,30.55799587637547
62,150,163.5
63,151,19.0
64,152,114.0
65,153,4.0
66,154,115.0
67,156,95.0
68,158,59.0
69,159,103.0
70,16,50.39732434773744
71,160,5.0
72,165,6.0
73,17,105.55805323346874
74,171,95.0
75,177,21.0
76,18,68.8547479611822
77,181,49.0
78,184,133.5
79,186,83.5
80,189,195.0
81,19,115.63773422411622
82,196,21.0
83,198,113.0
84,2,69.86118437178597
85,20,81.7348565833162
86,205,124.0
87,206,13.0
88,21,53.29980677667146
89,213,0.0
90,216,1.5
91,219,1.0
92,22,47.62980198956731
93,223,12.0
94,23,55.73779752184811
95,230,73.0
96,24,27.411971372633865
97,25,108.44616594485744
98,26,65.87065812867156
99,262,128.0
100,269,12.0
101,27,53.5585807748455
102,28,72.26887751021034
103,29,38.9465796769
104,3,50.7284572094715
105,30,94.42192841472723
106,31,73.83175497624643
107,32,143.22968324612918
108,33,102.11305713653564
109,34,58.724563121795654
110,35,105.87387522077188
111,36,19.11037254333496
112,360,68.0
113,365,28.0
114,37,142.3202475309372
115,370,121.0
116,38,198.0231478214264
117,387,3.0
118,39,139.15130519866943
119,4,54.70235230067064
120,40,55.172119140625
121,404,259.0
122,41,91.89402866363525
123,414,24.0
124,42,57.307952880859375
125,423,68.0
126,43,110.80988311767578
127,44,20.103405952453613
128,45,86.994140625
129,46,17.481971740722656
130,47,70.3787841796875
131,48,49.3203125
132,49,142.220947265625
133,5,141.44575742292494
134,50,11.173828125
135,51,49.125
136,52,113.7735595703125
137,53,29.4375
138,54,35.7967529296875
139,55,71.94921875
140,56,38.37109375
141,57,36.75
142,58,50.59375
143,59,24.703125
144,6,58.20576333286848
145,60,14.7734375
146,61,103.029296875
147,62,22.0
148,621,63.0
149,629,169.0
150,63,95.203125
151,64,113.0625
152,65,129.4453125
153,66,40.6875
154,67,51.0
155,68,25.0
156,69,40.25
157,7,84.00785077508252
158,70,85.9375
159,707,76.0
160,71,73.25
161,72,4.0
162,73,20.5
163,74,7.0
164,75,10.25
165,76,8.9375
166,77,95.6875
167,78,52.0
168,780,235.0
169,79,36.5
170,8,63.427870054410164
171,80,33.5
172,81,92.0625
173,82,74.875
174,83,23.5
175,84,51.75
176,86,67.125
177,87,137.75
178,88,1.0
179,89,27.0
180,9,116.13302374995416
181,90,123.25
182,91,48.0
183,92,35.25
184,93,84.0
185,94,93.0
186,95,50.375
187,96,29.0
188,97,9.5
189,98,20.0
